Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2879 (0.3156),0.1930 (0.1737),0.2266 (0.2250),19.0
Sister Victor N. Khoury,0.6458 (0.4574),0.5500 (0.3937),0.5936 (0.4223),20.0
Your son George,0.6351 (0.2413),0.8830 (0.0550),0.7042 (0.1702),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.3333 (0.4714),0.0185 (0.0262),0.0351 (0.0496),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7960 (0.1634),0.9396 (0.0854),0.8439 (0.0668),24.0
Shibli N. Damus,0.8440 (0.1806),0.7335 (0.1437),0.7546 (0.0780),103.0
Naoum Mokarzel,0.9697 (0.0429),0.5019 (0.0721),0.6569 (0.0610),18.0
Eissa alKhouri,0.8269 (0.0955),0.8049 (0.1721),0.7939 (0.0543),43.0
Girgi Dimitri Sursock,0.2942 (0.1610),0.7857 (0.1750),0.4098 (0.1971),7.0
Felix Faris,0.5693 (0.2563),0.8814 (0.0723),0.6461 (0.2184),151.0
May Ziadeh,0.1670 (0.1663),0.3765 (0.2898),0.2219 (0.2128),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5773 (0.1974),0.5046 (0.2096),0.5320 (0.1958),78.0
Mohammed Amin al-Husseini ,0.2941 (0.4159),0.2632 (0.3722),0.2778 (0.3928),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6111 (0.4335),0.5867 (0.4161),0.5986 (0.4246),25.0
Daoud Mujaes,0.7585 (0.1239),0.8704 (0.0693),0.8088 (0.1012),18.0
Bechara El Khoury,0.4690 (0.0924),0.8958 (0.0295),0.6086 (0.0746),8.0
Youssef Ibrahim Yazbek,0.9333 (0.0624),0.6790 (0.0238),0.7841 (0.0082),20.0
Elias Abu Shabaki,0.8622 (0.1391),0.9169 (0.0208),0.8823 (0.0785),49.0
Elie Maroun Khalil,0.8939 (0.0934),0.9690 (0.0220),0.9263 (0.0429),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.5333 (0.4110),0.0656 (0.0589),0.1111 (0.0944),21.0
Botros Feghaly,0.7593 (0.0131),0.3254 (0.1459),0.4356 (0.1486),24.0
Toufiq Wehbeh,0.8184 (0.1378),0.9891 (0.0155),0.8882 (0.0829),21.0
Bishop Mkhayel Akhrass,0.7326 (0.1153),0.6833 (0.4162),0.6249 (0.3323),17.0
George Saad,0.8776 (0.1732),0.7679 (0.1017),0.8164 (0.1294),38.0
Bishop Aghnathios Mbarak,0.7686 (0.1393),0.7079 (0.2789),0.7225 (0.2245),15.0
Fathallah Khoury,0.8655 (0.1312),0.6786 (0.3154),0.6952 (0.2271),14.0
Elias Sarkis,0.7154 (0.0571),0.9280 (0.0528),0.8071 (0.0502),20.0
Fouad Chehab,0.9349 (0.0313),0.9771 (0.0195),0.9552 (0.0199),11.0
Hanna Moussa,0.9226 (0.0552),0.9945 (0.0078),0.9561 (0.0255),25.0
Habib Massoud,0.7604 (0.2690),0.8431 (0.2218),0.7311 (0.1615),26.0
Zaghloul,0.9568 (0.0315),0.9923 (0.0109),0.9738 (0.0111),25.0
Father Youhanna Habib Baysari,0.8385 (0.1008),0.8416 (0.1330),0.8236 (0.0304),23.0
Mkhayel Daher,0.0370 (0.0524),0.0139 (0.0196),0.0202 (0.0286),24.0
Father Youssef Hanna & Father Botros Hasan,0.1587 (0.2245),0.1449 (0.2050),0.1515 (0.2143),23.0
Father Botros Hasan,0.3587 (0.2048),0.6418 (0.3685),0.4523 (0.2508),19.0
Father Youssef Hajj,0.0476 (0.0673),0.0159 (0.0224),0.0238 (0.0337),21.0
Father Mkhayel Zreiby,0.4001 (0.1273),0.7721 (0.0629),0.5194 (0.1308),39.0
Father Mikhael Hanna,0.2083 (0.2946),0.1010 (0.1428),0.1361 (0.1924),33.0
Jean Philipp Kmeid,0.9167 (0.1179),0.9783 (0.0307),0.9411 (0.0610),27.0
Michel Saykali,0.7013 (0.0393),1.0000 (0.0000),0.8238 (0.0271),14.0
Hanna Ghayth (Juan Gait),0.4750 (0.1698),1.0000 (0.0000),0.6267 (0.1508),13.0
Yousef Hobeiche,0.5548 (0.2762),0.9527 (0.0357),0.6574 (0.2000),17.0
Angele Ellis,0.4410 (0.3780),0.2469 (0.1848),0.3135 (0.2457),27.0
Khalil Yossuf Nader Raad,0.5163 (0.1791),0.9848 (0.0214),0.6562 (0.1692),22.0
Mansour Eid,0.8972 (0.1171),0.8170 (0.2287),0.8236 (0.1294),93.0
Mkhayel Meneem,0.9630 (0.0524),0.8800 (0.0653),0.9160 (0.0199),25.0
Constantine Elias,0.6908 (0.1222),0.8137 (0.1865),0.7303 (0.1168),17.0
Maurice Gemayel,0.7778 (0.2079),0.3763 (0.2085),0.4311 (0.1881),11.0
Murshid Habashi,0.7324 (0.1573),0.9114 (0.0400),0.8043 (0.1087),26.0
Michel Kahwaji,0.6513 (0.2116),0.9764 (0.0334),0.7576 (0.1423),141.0
Mayor of Kfarshima,0.3853 (0.2297),0.5054 (0.3958),0.4003 (0.2518),33.0
Sohayl Tohmeh,0.8541 (0.0263),0.8695 (0.1636),0.8513 (0.0786),36.0
Shukri Kanaan,0.6690 (0.1928),0.6566 (0.2075),0.6033 (0.0792),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.8738 (0.1126),0.9792 (0.0175),0.9185 (0.0587),153.0
Father Boulos El-Mender,0.6948 (0.1125),0.5306 (0.0981),0.5841 (0.0339),20.0
Salah Tizani,0.8846 (0.1206),0.9965 (0.0049),0.9325 (0.0703),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.1667 (0.2357),0.0556 (0.0786),0.0833 (0.1179),13.0
Assad Darouich Zacharias,0.3693 (0.0593),0.5608 (0.2274),0.4324 (0.0923),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3907 (0.2825),0.5650 (0.4107),0.4619 (0.3347),31.0
Toufic El Bacha,0.6139 (0.2019),0.9833 (0.0236),0.7372 (0.1740),40.0
Catherine Yazbek Al-Badawi,0.6389 (0.4530),0.2353 (0.2922),0.2899 (0.3345),17.0
Youssef Fadlallah Salemeh,0.6262 (0.2849),0.7718 (0.1648),0.6104 (0.1750),60.0
Bishop Youssef Darian,0.4954 (0.3595),0.5527 (0.4014),0.5225 (0.3793),53.0
Youssef Hanna El-Sawda,0.7070 (0.2410),0.9413 (0.0518),0.7749 (0.1551),21.0
accuracy,0.7246 (0.0111),0.7246 (0.0111),0.7246 (0.0111),0.7359482410028305
macro avg,0.5796 (0.0238),0.6194 (0.0388),0.5610 (0.0416),2473.0
weighted avg,0.7348 (0.0148),0.7246 (0.0111),0.7040 (0.0107),2473.0
