,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.0,0.0,0.0,20.0
Your son George,0.0,0.0,0.0,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.0,0.0,0.0,26.0
Shibli N. Damus,0.0,0.0,0.0,15.0
Naoum Mokarzel,0.0,0.0,0.0,20.0
Eissa alKhouri,0.0,0.0,0.0,18.0
Girgi Dimitri Sursock,0.0,0.0,0.0,15.0
Felix Faris,0.0,0.0,0.0,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.0,0.0,0.0,90.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,19.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,25.0
Daoud Mujaes,0.0,0.0,0.0,18.0
Bechara El Khoury,0.0,0.0,0.0,16.0
Youssef Ibrahim Yazbek,0.0,0.0,0.0,28.0
Elias Abu Shabaki,0.0,0.0,0.0,13.0
Elie Maroun Khalil,0.0,0.0,0.0,17.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Botros Feghaly,0.0,0.0,0.0,21.0
Toufiq Wehbeh,0.0,0.0,0.0,22.0
Bishop Mkhayel Akhrass,0.0,0.0,0.0,22.0
George Saad,0.0,0.0,0.0,48.0
Bishop Aghnathios Mbarak,0.0,0.0,0.0,57.0
Fathallah Khoury,0.0,0.0,0.0,20.0
Elias Sarkis,0.0,0.0,0.0,22.0
Fouad Chehab,0.0,0.0,0.0,95.0
Hanna Moussa,0.0,0.0,0.0,302.0
Habib Massoud,0.0,0.0,0.0,20.0
Zaghloul,0.0,0.0,0.0,17.0
Father Youhanna Habib Baysari,0.0,0.0,0.0,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.0,0.0,0.0,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.0,0.0,0.0,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,0.0,0.0,0.0,30.0
Michel Saykali,0.0,0.0,0.0,24.0
Hanna Ghayth (Juan Gait),0.0,0.0,0.0,24.0
Yousef Hobeiche,0.0,0.0,0.0,139.0
Angele Ellis,0.0,0.0,0.0,27.0
Khalil Yossuf Nader Raad,0.0,0.0,0.0,18.0
Mansour Eid,0.0,0.0,0.0,23.0
Mkhayel Meneem,0.0,0.0,0.0,25.0
Constantine Elias,0.0,0.0,0.0,20.0
Maurice Gemayel,0.0,0.0,0.0,12.0
Murshid Habashi,0.0,0.0,0.0,22.0
Michel Kahwaji,0.0,0.0,0.0,13.0
Mayor of Kfarshima,0.0,0.0,0.0,32.0
Sohayl Tohmeh,0.013365735115431349,1.0,0.026378896882494004,33.0
Shukri Kanaan,0.0,0.0,0.0,33.0
Emily Nasrallah,0.0,0.0,0.0,11.0
Joseph Oussani,0.0,0.0,0.0,23.0
Father Boulos El-Mender,0.0,0.0,0.0,74.0
Salah Tizani,0.0,0.0,0.0,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.0,0.0,0.0,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.0,0.0,0.0,28.0
Toufic El Bacha,0.0,0.0,0.0,17.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.0,0.0,0.0,73.0
Bishop Youssef Darian,0.0,0.0,0.0,17.0
Youssef Hanna El-Sawda,0.0,0.0,0.0,119.0
accuracy,0.013365735115431349,0.013365735115431349,0.013365735115431349,0.013365735115431349
macro avg,0.000188249790358188,0.014084507042253521,0.0003715337589083662,2469.0
weighted avg,0.00017864287517587466,0.013365735115431349,0.00035257334836869263,2469.0
