,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.16666666666666666,0.2857142857142857,18.0
Your son George,0.6818181818181818,1.0,0.8108108108108109,15.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,22.0
Bishop Boulos Akl,0.9166666666666666,0.8461538461538461,0.88,13.0
Ameen Rihani,1.0,0.696875,0.8213627992633518,320.0
Shibli N. Damus,0.9090909090909091,1.0,0.9523809523809523,20.0
Naoum Mokarzel,1.0,0.9,0.9473684210526315,20.0
Eissa alKhouri,1.0,1.0,1.0,36.0
Girgi Dimitri Sursock,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
Felix Faris,0.42857142857142855,1.0,0.6,24.0
May Ziadeh,0.2553191489361702,0.9230769230769231,0.4,13.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.2857142857142857,0.46153846153846156,0.35294117647058826,13.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,17.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.12,0.21428571428571427,25.0
Daoud Mujaes,1.0,0.9444444444444444,0.9714285714285714,18.0
Bechara El Khoury,0.6521739130434783,0.9375,0.7692307692307693,16.0
Youssef Ibrahim Yazbek,1.0,1.0,1.0,24.0
Elias Abu Shabaki,0.9,1.0,0.9473684210526315,18.0
Elie Maroun Khalil,0.5833333333333334,1.0,0.7368421052631579,21.0
Aziz Khoury,0.0,0.0,0.0,12.0
Ghnatyos Mbarak,1.0,0.13513513513513514,0.23809523809523808,37.0
Botros Feghaly,1.0,0.3333333333333333,0.5,21.0
Toufiq Wehbeh,1.0,1.0,1.0,61.0
Bishop Mkhayel Akhrass,0.3333333333333333,0.047619047619047616,0.08333333333333333,21.0
George Saad,0.5277777777777778,1.0,0.6909090909090909,19.0
Bishop Aghnathios Mbarak,0.6818181818181818,0.8823529411764706,0.7692307692307693,17.0
Fathallah Khoury,1.0,0.95,0.9743589743589743,20.0
Elias Sarkis,0.8333333333333334,0.9375,0.8823529411764706,16.0
Fouad Chehab,1.0,1.0,1.0,21.0
Hanna Moussa,0.9545454545454546,1.0,0.9767441860465116,21.0
Habib Massoud,0.0,0.0,0.0,34.0
Zaghloul,1.0,0.9942196531791907,0.9971014492753624,173.0
Father Youhanna Habib Baysari,1.0,1.0,1.0,23.0
Mkhayel Daher,0.0,0.0,0.0,25.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.323943661971831,0.9583333333333334,0.4842105263157895,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.5142857142857142,1.0,0.6792452830188679,18.0
Father Mikhael Hanna,0.0,0.0,0.0,17.0
Jean Philipp Kmeid,1.0,1.0,1.0,184.0
Michel Saykali,0.20238095238095238,1.0,0.33663366336633666,17.0
Hanna Ghayth (Juan Gait),0.4838709677419355,1.0,0.6521739130434783,15.0
Yousef Hobeiche,0.75,1.0,0.8571428571428571,18.0
Angele Ellis,1.0,0.2,0.3333333333333333,10.0
Khalil Yossuf Nader Raad,0.9090909090909091,1.0,0.9523809523809523,20.0
Mansour Eid,0.6216216216216216,1.0,0.7666666666666667,23.0
Mkhayel Meneem,0.9565217391304348,0.88,0.9166666666666666,25.0
Constantine Elias,0.625,1.0,0.7692307692307693,20.0
Maurice Gemayel,0.6666666666666666,0.9090909090909091,0.7692307692307693,11.0
Murshid Habashi,0.9565217391304348,1.0,0.9777777777777777,22.0
Michel Kahwaji,0.8823529411764706,1.0,0.9375,15.0
Mayor of Kfarshima,0.5517241379310345,1.0,0.7111111111111111,32.0
Sohayl Tohmeh,0.8918918918918919,1.0,0.9428571428571428,66.0
Shukri Kanaan,1.0,0.48484848484848486,0.6530612244897959,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,1.0,1.0,117.0
Father Boulos El-Mender,0.42857142857142855,0.75,0.5454545454545454,20.0
Salah Tizani,0.9896193771626297,1.0,0.9947826086956522,286.0
Father Elias Bassil,0.5714285714285714,0.3333333333333333,0.42105263157894735,12.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.625,0.5,0.5555555555555556,20.0
Krouger Tobia Attallah,0.3880597014925373,1.0,0.5591397849462365,26.0
Toufic El Bacha,0.6060606060606061,1.0,0.7547169811320755,20.0
Catherine Yazbek Al-Badawi,1.0,0.4117647058823529,0.5833333333333334,17.0
Youssef Fadlallah Salemeh,0.3939393939393939,1.0,0.5652173913043478,13.0
Bishop Youssef Darian,0.0,0.0,0.0,15.0
Youssef Hanna El-Sawda,0.8695652173913043,1.0,0.9302325581395349,20.0
accuracy,0.7719369187221997,0.7719369187221997,0.7719369187221997,0.7719369187221997
macro avg,0.6198416344252361,0.6698722405064056,0.5958832522999243,2473.0
weighted avg,0.7858733487234913,0.7719369187221997,0.7460853175718085,2473.0
