,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.0,0.0,0.0,20.0
Your son George,0.8857142857142857,1.0,0.9393939393939394,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.6666666666666666,0.1111111111111111,0.19047619047619047,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.49056603773584906,1.0,0.6582278481012658,26.0
Shibli N. Damus,0.4444444444444444,0.5333333333333333,0.48484848484848486,15.0
Naoum Mokarzel,0.75,0.45,0.5625,20.0
Eissa alKhouri,1.0,1.0,1.0,18.0
Girgi Dimitri Sursock,0.2727272727272727,1.0,0.42857142857142855,15.0
Felix Faris,0.8226950354609929,0.7483870967741936,0.7837837837837838,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4634146341463415,0.2111111111111111,0.2900763358778626,90.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,19.0
Prof. Ign. Kratchkovsky,0.0625,0.07692307692307693,0.06896551724137931,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.84,0.9130434782608695,25.0
Daoud Mujaes,0.0,0.0,0.0,18.0
Bechara El Khoury,0.5555555555555556,0.9375,0.6976744186046512,16.0
Youssef Ibrahim Yazbek,0.95,0.6785714285714286,0.7916666666666666,28.0
Elias Abu Shabaki,0.7647058823529411,1.0,0.8666666666666667,13.0
Elie Maroun Khalil,1.0,0.7058823529411765,0.8275862068965517,17.0
Aziz Khoury,1.0,0.2857142857142857,0.4444444444444444,14.0
Ghnatyos Mbarak,0.16666666666666666,0.2,0.18181818181818182,15.0
Botros Feghaly,0.6666666666666666,0.9523809523809523,0.7843137254901961,21.0
Toufiq Wehbeh,0.9166666666666666,1.0,0.9565217391304348,22.0
Bishop Mkhayel Akhrass,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0
George Saad,0.5909090909090909,0.8125,0.6842105263157895,48.0
Bishop Aghnathios Mbarak,0.45588235294117646,0.543859649122807,0.496,57.0
Fathallah Khoury,0.7142857142857143,1.0,0.8333333333333334,20.0
Elias Sarkis,0.6470588235294118,1.0,0.7857142857142857,22.0
Fouad Chehab,1.0,1.0,1.0,95.0
Hanna Moussa,1.0,0.9966887417218543,0.9983416252072969,302.0
Habib Massoud,0.8695652173913043,1.0,0.9302325581395349,20.0
Zaghloul,1.0,1.0,1.0,17.0
Father Youhanna Habib Baysari,0.9811320754716981,0.896551724137931,0.9369369369369369,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.6875,0.9565217391304348,0.8,23.0
Father Botros Hasan,0.07407407407407407,0.16666666666666666,0.10256410256410256,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.0,0.0,0.0,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,1.0,1.0,1.0,30.0
Michel Saykali,0.6486486486486487,1.0,0.7868852459016393,24.0
Hanna Ghayth (Juan Gait),0.8888888888888888,1.0,0.9411764705882353,24.0
Yousef Hobeiche,0.9290780141843972,0.9424460431654677,0.9357142857142857,139.0
Angele Ellis,0.325,0.48148148148148145,0.3880597014925373,27.0
Khalil Yossuf Nader Raad,0.75,1.0,0.8571428571428571,18.0
Mansour Eid,1.0,1.0,1.0,23.0
Mkhayel Meneem,0.9583333333333334,0.92,0.9387755102040817,25.0
Constantine Elias,0.5405405405405406,1.0,0.7017543859649122,20.0
Maurice Gemayel,1.0,1.0,1.0,12.0
Murshid Habashi,0.5,0.9545454545454546,0.65625,22.0
Michel Kahwaji,0.5652173913043478,1.0,0.7222222222222222,13.0
Mayor of Kfarshima,0.12195121951219512,0.15625,0.136986301369863,32.0
Sohayl Tohmeh,1.0,1.0,1.0,33.0
Shukri Kanaan,0.15625,0.15151515151515152,0.15384615384615385,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,1.0,1.0,23.0
Father Boulos El-Mender,0.7358490566037735,0.527027027027027,0.6141732283464567,74.0
Salah Tizani,1.0,1.0,1.0,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.6875,0.6470588235294118,0.6666666666666666,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.6086956521739131,1.0,0.7567567567567568,28.0
Toufic El Bacha,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
Catherine Yazbek Al-Badawi,1.0,0.5294117647058824,0.6923076923076923,17.0
Youssef Fadlallah Salemeh,0.7532467532467533,0.7945205479452054,0.7733333333333333,73.0
Bishop Youssef Darian,0.37777777777777777,1.0,0.5483870967741935,17.0
Youssef Hanna El-Sawda,0.8852459016393442,0.907563025210084,0.8962655601659751,119.0
accuracy,0.7095990279465371,0.7095990279465371,0.7095990279465371,0.7095990279465371
macro avg,0.5789595795096099,0.6333209854710515,0.5833148955107278,2469.0
weighted avg,0.687170895096982,0.7095990279465371,0.6840711476953408,2469.0
