Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.1515 (0.2143),0.0877 (0.1241),0.1111 (0.1571),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.6667 (0.4714),0.6667 (0.4714),20.0
Your son George,0.5697 (0.2576),0.9455 (0.0404),0.6751 (0.1730),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1444 (0.1397),0.0394 (0.0280),0.0574 (0.0413),16.0
Bishop Boulos Akl,0.6667 (0.4714),0.0465 (0.0334),0.0868 (0.0623),16.0
Ameen Rihani,0.9286 (0.0583),0.9365 (0.0899),0.9269 (0.0280),24.0
Shibli N. Damus,0.7427 (0.1295),0.8839 (0.1201),0.7885 (0.0227),103.0
Naoum Mokarzel,0.5833 (0.4139),0.3685 (0.2606),0.4514 (0.3193),18.0
Eissa alKhouri,0.8798 (0.0859),0.7541 (0.1747),0.8057 (0.1239),43.0
Girgi Dimitri Sursock,0.2327 (0.1246),0.7381 (0.2756),0.3483 (0.1686),7.0
Felix Faris,0.6052 (0.2460),0.8774 (0.0985),0.6786 (0.2024),151.0
May Ziadeh,0.1770 (0.1952),0.4615 (0.4119),0.2516 (0.2661),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5152 (0.3354),0.5821 (0.2521),0.4583 (0.2969),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.0877 (0.1241),0.1389 (0.1964),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6377 (0.4523),0.5467 (0.3869),0.5880 (0.4158),25.0
Daoud Mujaes,0.7222 (0.1534),0.7593 (0.1386),0.7206 (0.0783),18.0
Bechara El Khoury,0.5972 (0.0708),0.8125 (0.0884),0.6853 (0.0629),8.0
Youssef Ibrahim Yazbek,0.9231 (0.1088),0.6651 (0.1976),0.7655 (0.1689),20.0
Elias Abu Shabaki,0.9796 (0.0289),0.9426 (0.0454),0.9600 (0.0283),49.0
Elie Maroun Khalil,0.8171 (0.1556),0.9524 (0.0673),0.8760 (0.1211),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.2667 (0.3771),0.0635 (0.0898),0.1026 (0.1450),21.0
Botros Feghaly,0.9071 (0.1022),0.5595 (0.3187),0.6235 (0.2834),24.0
Toufiq Wehbeh,0.8359 (0.0368),0.9891 (0.0155),0.9059 (0.0279),21.0
Bishop Mkhayel Akhrass,0.5109 (0.3894),0.6364 (0.4515),0.5619 (0.4110),17.0
George Saad,0.8538 (0.1290),0.6729 (0.2291),0.7282 (0.1804),38.0
Bishop Aghnathios Mbarak,0.6464 (0.1684),0.7476 (0.2682),0.6892 (0.2120),15.0
Fathallah Khoury,0.7963 (0.2144),0.4667 (0.2867),0.5080 (0.2696),14.0
