,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.8157894736842105,1.0,0.8985507246376812,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.5306122448979592,1.0,0.6933333333333334,26.0
Shibli N. Damus,0.3333333333333333,0.9333333333333333,0.49122807017543857,15.0
Naoum Mokarzel,0.0,0.0,0.0,20.0
Eissa alKhouri,0.45,1.0,0.6206896551724138,18.0
Girgi Dimitri Sursock,0.2,1.0,0.3333333333333333,15.0
Felix Faris,0.7814569536423841,0.7612903225806451,0.7712418300653595,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5,0.24444444444444444,0.3283582089552239,90.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,19.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.6,0.75,25.0
Daoud Mujaes,0.0,0.0,0.0,18.0
Bechara El Khoury,0.5555555555555556,0.9375,0.6976744186046512,16.0
Youssef Ibrahim Yazbek,1.0,0.5714285714285714,0.7272727272727273,28.0
Elias Abu Shabaki,0.8666666666666667,1.0,0.9285714285714286,13.0
Elie Maroun Khalil,1.0,0.47058823529411764,0.64,17.0
Aziz Khoury,1.0,0.2857142857142857,0.4444444444444444,14.0
Ghnatyos Mbarak,0.0967741935483871,0.2,0.13043478260869565,15.0
Botros Feghaly,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
Toufiq Wehbeh,0.9565217391304348,1.0,0.9777777777777777,22.0
Bishop Mkhayel Akhrass,0.7916666666666666,0.8636363636363636,0.8260869565217391,22.0
George Saad,0.8085106382978723,0.7916666666666666,0.8,48.0
Bishop Aghnathios Mbarak,0.423728813559322,0.43859649122807015,0.43103448275862066,57.0
Fathallah Khoury,0.8,1.0,0.8888888888888888,20.0
Elias Sarkis,0.7142857142857143,0.9090909090909091,0.8,22.0
Fouad Chehab,1.0,1.0,1.0,95.0
Hanna Moussa,1.0,0.9933774834437086,0.9966777408637874,302.0
Habib Massoud,0.8695652173913043,1.0,0.9302325581395349,20.0
Zaghloul,0.9444444444444444,1.0,0.9714285714285714,17.0
Father Youhanna Habib Baysari,1.0,0.7413793103448276,0.8514851485148515,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.3770491803278688,1.0,0.5476190476190477,23.0
Father Botros Hasan,0.2692307692307692,0.5833333333333334,0.3684210526315789,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.0,0.0,0.0,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,1.0,1.0,1.0,30.0
Michel Saykali,0.7058823529411765,1.0,0.8275862068965517,24.0
Hanna Ghayth (Juan Gait),0.96,1.0,0.9795918367346939,24.0
Yousef Hobeiche,0.951048951048951,0.9784172661870504,0.9645390070921985,139.0
Angele Ellis,0.34782608695652173,0.5925925925925926,0.4383561643835616,27.0
Khalil Yossuf Nader Raad,0.8571428571428571,1.0,0.9230769230769231,18.0
Mansour Eid,1.0,1.0,1.0,23.0
Mkhayel Meneem,1.0,0.96,0.9795918367346939,25.0
Constantine Elias,0.72,0.9,0.8,20.0
Maurice Gemayel,0.9230769230769231,1.0,0.96,12.0
Murshid Habashi,0.7142857142857143,0.9090909090909091,0.8,22.0
Michel Kahwaji,0.7647058823529411,1.0,0.8666666666666667,13.0
Mayor of Kfarshima,0.26229508196721313,0.5,0.34408602150537637,32.0
Sohayl Tohmeh,0.9428571428571428,1.0,0.9705882352941176,33.0
Shukri Kanaan,0.058823529411764705,0.030303030303030304,0.04,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,1.0,1.0,23.0
Father Boulos El-Mender,0.847457627118644,0.6756756756756757,0.7518796992481203,74.0
Salah Tizani,1.0,1.0,1.0,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.7142857142857143,0.8823529411764706,0.7894736842105263,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.5,1.0,0.6666666666666666,28.0
Toufic El Bacha,0.6296296296296297,1.0,0.7727272727272727,17.0
Catherine Yazbek Al-Badawi,1.0,0.29411764705882354,0.45454545454545453,17.0
Youssef Fadlallah Salemeh,0.7816091954022989,0.9315068493150684,0.85,73.0
Bishop Youssef Darian,0.7083333333333334,1.0,0.8292682926829268,17.0
Youssef Hanna El-Sawda,0.9908256880733946,0.907563025210084,0.9473684210526315,119.0
accuracy,0.7221547185095181,0.7221547185095181,0.7221547185095181,0.7221547185095181
macro avg,0.5826766087226621,0.6449543886184631,0.5874022461492875,2469.0
weighted avg,0.6997887274475055,0.7221547185095181,0.6944108706714875,2469.0
