,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.0,0.0,0.0,20.0
Your son George,0.0,0.0,0.0,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.009704811969268095,1.0,0.01922306768121746,24.0
Shibli N. Damus,0.0,0.0,0.0,103.0
Naoum Mokarzel,0.0,0.0,0.0,18.0
Eissa alKhouri,0.0,0.0,0.0,43.0
Girgi Dimitri Sursock,0.0,0.0,0.0,7.0
Felix Faris,0.0,0.0,0.0,151.0
May Ziadeh,0.0,0.0,0.0,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.0,0.0,0.0,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,25.0
Daoud Mujaes,0.0,0.0,0.0,18.0
Bechara El Khoury,0.0,0.0,0.0,8.0
Youssef Ibrahim Yazbek,0.0,0.0,0.0,20.0
Elias Abu Shabaki,0.0,0.0,0.0,49.0
Elie Maroun Khalil,0.0,0.0,0.0,22.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,21.0
Botros Feghaly,0.0,0.0,0.0,24.0
Toufiq Wehbeh,0.0,0.0,0.0,21.0
Bishop Mkhayel Akhrass,0.0,0.0,0.0,17.0
George Saad,0.0,0.0,0.0,38.0
Bishop Aghnathios Mbarak,0.0,0.0,0.0,15.0
Fathallah Khoury,0.0,0.0,0.0,14.0
Elias Sarkis,0.0,0.0,0.0,20.0
Fouad Chehab,0.0,0.0,0.0,11.0
Hanna Moussa,0.0,0.0,0.0,25.0
Habib Massoud,0.0,0.0,0.0,26.0
Zaghloul,0.0,0.0,0.0,25.0
Father Youhanna Habib Baysari,0.0,0.0,0.0,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.0,0.0,0.0,19.0
Father Youssef Hajj,0.0,0.0,0.0,21.0
Father Mkhayel Zreiby,0.0,0.0,0.0,39.0
Father Mikhael Hanna,0.0,0.0,0.0,33.0
Jean Philipp Kmeid,0.0,0.0,0.0,27.0
Michel Saykali,0.0,0.0,0.0,14.0
Hanna Ghayth (Juan Gait),0.0,0.0,0.0,13.0
Yousef Hobeiche,0.0,0.0,0.0,17.0
Angele Ellis,0.0,0.0,0.0,27.0
Khalil Yossuf Nader Raad,0.0,0.0,0.0,22.0
Mansour Eid,0.0,0.0,0.0,93.0
Mkhayel Meneem,0.0,0.0,0.0,25.0
Constantine Elias,0.0,0.0,0.0,17.0
Maurice Gemayel,0.0,0.0,0.0,11.0
Murshid Habashi,0.0,0.0,0.0,26.0
Michel Kahwaji,0.0,0.0,0.0,141.0
Mayor of Kfarshima,0.0,0.0,0.0,33.0
Sohayl Tohmeh,0.0,0.0,0.0,36.0
Shukri Kanaan,0.0,0.0,0.0,33.0
Emily Nasrallah,0.0,0.0,0.0,11.0
Joseph Oussani,0.0,0.0,0.0,153.0
Father Boulos El-Mender,0.0,0.0,0.0,20.0
Salah Tizani,0.0,0.0,0.0,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.0,0.0,0.0,31.0
Toufic El Bacha,0.0,0.0,0.0,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.0,0.0,0.0,60.0
Bishop Youssef Darian,0.0,0.0,0.0,53.0
Youssef Hanna El-Sawda,0.0,0.0,0.0,21.0
accuracy,0.009704811969268095,0.009704811969268095,0.009704811969268095,0.009704811969268095
macro avg,0.00013668749252490275,0.014084507042253521,0.0002707474321298234,2473.0
weighted avg,9.418337535884928e-05,0.009704811969268095,0.0001865562573187299,2473.0
