,precision,recall,f1-score,support
Your nephew Maroun,1.0,0.5789473684210527,0.7333333333333333,19.0
Sister Victor N. Khoury,0.9523809523809523,1.0,0.975609756097561,20.0
Your son George,0.8214285714285714,0.7419354838709677,0.7796610169491526,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.5,0.05555555555555555,0.1,18.0
Bishop Boulos Akl,1.0,0.07692307692307693,0.14285714285714285,13.0
Ameen Rihani,1.0,1.0,1.0,26.0
Shibli N. Damus,0.65,0.8666666666666667,0.7428571428571429,15.0
Naoum Mokarzel,0.8666666666666667,0.65,0.7428571428571429,20.0
Eissa alKhouri,0.9473684210526315,1.0,0.972972972972973,18.0
Girgi Dimitri Sursock,0.375,1.0,0.5454545454545454,15.0
Felix Faris,0.8702290076335878,0.7354838709677419,0.7972027972027972,155.0
May Ziadeh,0.09615384615384616,0.08771929824561403,0.09174311926605505,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7692307692307693,0.3333333333333333,0.46511627906976744,90.0
Mohammed Amin al-Husseini ,0.9285714285714286,0.6842105263157895,0.7878787878787878,19.0
Prof. Ign. Kratchkovsky,0.09090909090909091,0.07692307692307693,0.08333333333333333,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.88,0.9361702127659575,25.0
Daoud Mujaes,0.5161290322580645,0.8888888888888888,0.6530612244897959,18.0
Bechara El Khoury,0.8125,0.8125,0.8125,16.0
Youssef Ibrahim Yazbek,0.9545454545454546,0.75,0.84,28.0
Elias Abu Shabaki,1.0,1.0,1.0,13.0
Elie Maroun Khalil,0.8947368421052632,1.0,0.9444444444444444,17.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Botros Feghaly,1.0,0.7142857142857143,0.8333333333333334,21.0
Toufiq Wehbeh,0.8461538461538461,1.0,0.9166666666666666,22.0
Bishop Mkhayel Akhrass,0.7241379310344828,0.9545454545454546,0.8235294117647058,22.0
George Saad,0.6923076923076923,0.75,0.72,48.0
Bishop Aghnathios Mbarak,0.3728813559322034,0.38596491228070173,0.3793103448275862,57.0
Fathallah Khoury,0.95,0.95,0.95,20.0
Elias Sarkis,0.6896551724137931,0.9090909090909091,0.7843137254901961,22.0
Fouad Chehab,1.0,1.0,1.0,95.0
Hanna Moussa,1.0,0.9867549668874173,0.9933333333333333,302.0
Habib Massoud,1.0,1.0,1.0,20.0
Zaghloul,1.0,1.0,1.0,17.0
Father Youhanna Habib Baysari,1.0,0.8448275862068966,0.9158878504672897,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.5675675675675675,0.9130434782608695,0.7,23.0
Father Botros Hasan,0.4444444444444444,0.6666666666666666,0.5333333333333333,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.14285714285714285,0.07692307692307693,0.1,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,0.967741935483871,1.0,0.9836065573770492,30.0
Michel Saykali,0.7272727272727273,1.0,0.8421052631578947,24.0
Hanna Ghayth (Juan Gait),0.8275862068965517,1.0,0.9056603773584906,24.0
Yousef Hobeiche,0.9428571428571428,0.7122302158273381,0.8114754098360656,139.0
Angele Ellis,0.125,0.037037037037037035,0.05714285714285714,27.0
Khalil Yossuf Nader Raad,0.3148148148148148,0.9444444444444444,0.4722222222222222,18.0
Mansour Eid,0.575,1.0,0.7301587301587301,23.0
Mkhayel Meneem,1.0,0.92,0.9583333333333334,25.0
Constantine Elias,0.4166666666666667,1.0,0.5882352941176471,20.0
Maurice Gemayel,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Murshid Habashi,0.6666666666666666,0.9090909090909091,0.7692307692307693,22.0
Michel Kahwaji,0.22807017543859648,1.0,0.37142857142857144,13.0
Mayor of Kfarshima,0.20588235294117646,0.21875,0.21212121212121213,32.0
Sohayl Tohmeh,0.7333333333333333,1.0,0.8461538461538461,33.0
Shukri Kanaan,0.20588235294117646,0.21212121212121213,0.208955223880597,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,1.0,1.0,23.0
Father Boulos El-Mender,0.8181818181818182,0.4864864864864865,0.6101694915254238,74.0
Salah Tizani,0.9090909090909091,1.0,0.9523809523809523,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.25,1.0,0.4,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.5192307692307693,0.9642857142857143,0.675,28.0
Toufic El Bacha,0.8095238095238095,1.0,0.8947368421052632,17.0
Catherine Yazbek Al-Badawi,1.0,0.7647058823529411,0.8666666666666667,17.0
Youssef Fadlallah Salemeh,0.776595744680851,1.0,0.874251497005988,73.0
Bishop Youssef Darian,0.6296296296296297,1.0,0.7727272727272727,17.0
Youssef Hanna El-Sawda,0.9903846153846154,0.865546218487395,0.9237668161434978,119.0
accuracy,0.7237748076144188,0.7237748076144188,0.7237748076144188,0.7237748076144188
macro avg,0.6342525855401309,0.6805993619445015,0.625914889067428,2469.0
weighted avg,0.7373239987077395,0.7237748076144188,0.7095326384528572,2469.0
