,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.0,0.0,0.0,20.0
Your son George,0.4492753623188406,1.0,0.62,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.6666666666666666,1.0,0.8,26.0
Shibli N. Damus,0.09523809523809523,0.13333333333333333,0.1111111111111111,15.0
Naoum Mokarzel,0.6666666666666666,0.1,0.17391304347826086,20.0
Eissa alKhouri,0.72,1.0,0.8372093023255814,18.0
Girgi Dimitri Sursock,0.23728813559322035,0.9333333333333333,0.3783783783783784,15.0
Felix Faris,0.9411764705882353,0.6193548387096774,0.7470817120622568,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5263157894736842,0.2222222222222222,0.3125,90.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,19.0
Prof. Ign. Kratchkovsky,0.375,0.6923076923076923,0.4864864864864865,13.0
Ibrahim Mejahid Al-Jaza'eri,0.7142857142857143,0.8,0.7547169811320755,25.0
Daoud Mujaes,0.0,0.0,0.0,18.0
Bechara El Khoury,0.7142857142857143,0.9375,0.8108108108108109,16.0
Youssef Ibrahim Yazbek,1.0,1.0,1.0,28.0
Elias Abu Shabaki,0.8125,1.0,0.896551724137931,13.0
Elie Maroun Khalil,0.8666666666666667,0.7647058823529411,0.8125,17.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Botros Feghaly,1.0,0.8095238095238095,0.8947368421052632,21.0
Toufiq Wehbeh,0.4,1.0,0.5714285714285714,22.0
Bishop Mkhayel Akhrass,0.45,0.8181818181818182,0.5806451612903226,22.0
George Saad,0.7551020408163265,0.7708333333333334,0.7628865979381443,48.0
Bishop Aghnathios Mbarak,0.40425531914893614,0.3333333333333333,0.36538461538461536,57.0
Fathallah Khoury,0.4857142857142857,0.85,0.6181818181818182,20.0
Elias Sarkis,0.9166666666666666,1.0,0.9565217391304348,22.0
Fouad Chehab,1.0,1.0,1.0,95.0
Hanna Moussa,1.0,0.9966887417218543,0.9983416252072969,302.0
Habib Massoud,1.0,1.0,1.0,20.0
Zaghloul,1.0,1.0,1.0,17.0
Father Youhanna Habib Baysari,0.7692307692307693,0.8620689655172413,0.8130081300813008,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.84,0.9130434782608695,0.875,23.0
Father Botros Hasan,0.3442622950819672,0.875,0.49411764705882355,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.0,0.0,0.0,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,1.0,1.0,1.0,30.0
Michel Saykali,0.9230769230769231,1.0,0.96,24.0
Hanna Ghayth (Juan Gait),0.9230769230769231,1.0,0.96,24.0
Yousef Hobeiche,0.9495798319327731,0.8129496402877698,0.875968992248062,139.0
Angele Ellis,0.2571428571428571,0.3333333333333333,0.2903225806451613,27.0
Khalil Yossuf Nader Raad,0.3103448275862069,1.0,0.47368421052631576,18.0
Mansour Eid,1.0,1.0,1.0,23.0
Mkhayel Meneem,0.48,0.96,0.64,25.0
Constantine Elias,0.32786885245901637,1.0,0.49382716049382713,20.0
Maurice Gemayel,0.7058823529411765,1.0,0.8275862068965517,12.0
Murshid Habashi,0.6774193548387096,0.9545454545454546,0.7924528301886793,22.0
Michel Kahwaji,0.6842105263157895,1.0,0.8125,13.0
Mayor of Kfarshima,0.48484848484848486,1.0,0.6530612244897959,32.0
Sohayl Tohmeh,0.9166666666666666,1.0,0.9565217391304348,33.0
Shukri Kanaan,0.0,0.0,0.0,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,1.0,1.0,23.0
Father Boulos El-Mender,0.6136363636363636,0.36486486486486486,0.4576271186440678,74.0
Salah Tizani,0.9090909090909091,1.0,0.9523809523809523,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.7333333333333333,0.6470588235294118,0.6875,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.9333333333333333,1.0,0.9655172413793104,28.0
Toufic El Bacha,1.0,0.9411764705882353,0.9696969696969697,17.0
Catherine Yazbek Al-Badawi,1.0,0.23529411764705882,0.38095238095238093,17.0
Youssef Fadlallah Salemeh,0.6627906976744186,0.7808219178082192,0.7169811320754716,73.0
Bishop Youssef Darian,0.5862068965517241,1.0,0.7391304347826086,17.0
Youssef Hanna El-Sawda,0.8991596638655462,0.8991596638655462,0.8991596638655462,119.0
accuracy,0.6889428918590522,0.6889428918590522,0.6889428918590522,0.6889428918590522
macro avg,0.5370178233354028,0.6247976770225542,0.5517800441707833,2469.0
weighted avg,0.6692082142160041,0.6889428918590522,0.657376632586844,2469.0
