,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.2558139534883721,1.0,0.4074074074074074,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.058823529411764705,0.0625,0.06060606060606061,16.0
Ameen Rihani,0.8888888888888888,1.0,0.9411764705882353,24.0
Shibli N. Damus,0.989010989010989,0.8737864077669902,0.9278350515463918,103.0
Naoum Mokarzel,0.0,0.0,0.0,18.0
Eissa alKhouri,0.7037037037037037,0.8837209302325582,0.7835051546391752,43.0
Girgi Dimitri Sursock,0.36363636363636365,0.5714285714285714,0.4444444444444444,7.0
Felix Faris,0.863905325443787,0.9668874172185431,0.9125,151.0
May Ziadeh,0.4375,0.9545454545454546,0.6,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9310344827586207,0.6923076923076923,0.7941176470588235,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.07142857142857142,0.07692307692307693,0.07407407407407407,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.88,0.9361702127659575,25.0
Daoud Mujaes,0.782608695652174,1.0,0.8780487804878049,18.0
Bechara El Khoury,1.0,1.0,1.0,8.0
Youssef Ibrahim Yazbek,1.0,1.0,1.0,20.0
Elias Abu Shabaki,1.0,0.9591836734693877,0.9791666666666666,49.0
Elie Maroun Khalil,1.0,0.6363636363636364,0.7777777777777778,22.0
Aziz Khoury,1.0,0.9285714285714286,0.9629629629629629,14.0
Ghnatyos Mbarak,1.0,0.2857142857142857,0.4444444444444444,21.0
Botros Feghaly,0.6388888888888888,0.9583333333333334,0.7666666666666667,24.0
Toufiq Wehbeh,0.9545454545454546,1.0,0.9767441860465116,21.0
Bishop Mkhayel Akhrass,0.9444444444444444,1.0,0.9714285714285714,17.0
George Saad,1.0,0.9736842105263158,0.9866666666666667,38.0
Bishop Aghnathios Mbarak,0.9375,1.0,0.967741935483871,15.0
Fathallah Khoury,1.0,0.2857142857142857,0.4444444444444444,14.0
Elias Sarkis,0.8333333333333334,1.0,0.9090909090909091,20.0
Fouad Chehab,1.0,1.0,1.0,11.0
Hanna Moussa,1.0,1.0,1.0,25.0
Habib Massoud,0.9629629629629629,1.0,0.9811320754716981,26.0
Zaghloul,1.0,1.0,1.0,25.0
Father Youhanna Habib Baysari,1.0,1.0,1.0,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.3958333333333333,1.0,0.5671641791044776,19.0
Father Youssef Hajj,1.0,0.047619047619047616,0.09090909090909091,21.0
Father Mkhayel Zreiby,0.7037037037037037,0.9743589743589743,0.8172043010752689,39.0
Father Mikhael Hanna,1.0,0.48484848484848486,0.6530612244897959,33.0
Jean Philipp Kmeid,1.0,1.0,1.0,27.0
Michel Saykali,1.0,1.0,1.0,14.0
Hanna Ghayth (Juan Gait),0.9285714285714286,1.0,0.9629629629629629,13.0
Yousef Hobeiche,0.8095238095238095,1.0,0.8947368421052632,17.0
Angele Ellis,0.3888888888888889,0.25925925925925924,0.3111111111111111,27.0
Khalil Yossuf Nader Raad,0.7096774193548387,1.0,0.8301886792452831,22.0
Mansour Eid,0.6122448979591837,0.967741935483871,0.75,93.0
Mkhayel Meneem,0.9615384615384616,1.0,0.9803921568627451,25.0
Constantine Elias,1.0,1.0,1.0,17.0
Maurice Gemayel,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Murshid Habashi,0.7647058823529411,1.0,0.8666666666666667,26.0
Michel Kahwaji,0.9619047619047619,0.7163120567375887,0.8211382113821138,141.0
Mayor of Kfarshima,0.28846153846153844,0.45454545454545453,0.35294117647058826,33.0
Sohayl Tohmeh,1.0,1.0,1.0,36.0
Shukri Kanaan,0.17857142857142858,0.15151515151515152,0.16393442622950818,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.987012987012987,0.9934640522875817,0.990228013029316,153.0
Father Boulos El-Mender,0.9523809523809523,1.0,0.975609756097561,20.0
Salah Tizani,1.0,0.9966329966329966,0.9983136593591906,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.14545454545454545,0.25806451612903225,0.18604651162790697,31.0
Toufic El Bacha,0.7254901960784313,0.925,0.8131868131868132,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.7246376811594203,0.8333333333333334,0.7751937984496124,60.0
Bishop Youssef Darian,0.9629629629629629,0.9811320754716981,0.9719626168224299,53.0
Youssef Hanna El-Sawda,0.42857142857142855,1.0,0.6,21.0
accuracy,0.7889203396684189,0.7889203396684189,0.7889203396684189,0.7889203396684189
macro avg,0.6641867155559759,0.6893321500201259,0.6508478270006786,2473.0
weighted avg,0.77702755529217,0.7889203396684189,0.7651963953428157,2473.0
