,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.0,0.0,0.0,20.0
Your son George,0.8333333333333334,0.967741935483871,0.8955223880597015,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.32098765432098764,1.0,0.48598130841121495,26.0
Shibli N. Damus,0.0,0.0,0.0,15.0
Naoum Mokarzel,0.0,0.0,0.0,20.0
Eissa alKhouri,0.28125,1.0,0.43902439024390244,18.0
Girgi Dimitri Sursock,0.15384615384615385,0.4,0.2222222222222222,15.0
Felix Faris,0.907563025210084,0.6967741935483871,0.7883211678832117,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.2,0.1,0.13333333333333333,90.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,19.0
Prof. Ign. Kratchkovsky,0.25,0.15384615384615385,0.19047619047619047,13.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,25.0
Daoud Mujaes,0.0,0.0,0.0,18.0
Bechara El Khoury,0.45161290322580644,0.875,0.5957446808510638,16.0
Youssef Ibrahim Yazbek,0.0,0.0,0.0,28.0
Elias Abu Shabaki,0.5909090909090909,1.0,0.7428571428571429,13.0
Elie Maroun Khalil,0.5,0.058823529411764705,0.10526315789473684,17.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.029411764705882353,0.06666666666666667,0.04081632653061224,15.0
Botros Feghaly,0.8,0.19047619047619047,0.3076923076923077,21.0
Toufiq Wehbeh,0.7586206896551724,1.0,0.8627450980392157,22.0
Bishop Mkhayel Akhrass,0.0,0.0,0.0,22.0
George Saad,0.6923076923076923,0.5625,0.6206896551724138,48.0
Bishop Aghnathios Mbarak,0.4492753623188406,0.543859649122807,0.49206349206349204,57.0
Fathallah Khoury,0.41304347826086957,0.95,0.5757575757575758,20.0
Elias Sarkis,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
Fouad Chehab,0.9894736842105263,0.9894736842105263,0.9894736842105263,95.0
Hanna Moussa,1.0,0.9867549668874173,0.9933333333333333,302.0
Habib Massoud,0.9090909090909091,1.0,0.9523809523809523,20.0
Zaghloul,0.9444444444444444,1.0,0.9714285714285714,17.0
Father Youhanna Habib Baysari,0.9814814814814815,0.9137931034482759,0.9464285714285714,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.1978021978021978,0.75,0.3130434782608696,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.038461538461538464,0.07692307692307693,0.05128205128205128,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,1.0,1.0,1.0,30.0
Michel Saykali,0.8571428571428571,1.0,0.9230769230769231,24.0
Hanna Ghayth (Juan Gait),0.7058823529411765,1.0,0.8275862068965517,24.0
Yousef Hobeiche,0.7456140350877193,0.6115107913669064,0.6719367588932806,139.0
Angele Ellis,0.7777777777777778,0.5185185185185185,0.6222222222222222,27.0
Khalil Yossuf Nader Raad,0.6,1.0,0.75,18.0
Mansour Eid,0.3026315789473684,1.0,0.46464646464646464,23.0
Mkhayel Meneem,1.0,0.92,0.9583333333333334,25.0
Constantine Elias,0.5714285714285714,1.0,0.7272727272727273,20.0
Maurice Gemayel,0.5714285714285714,1.0,0.7272727272727273,12.0
Murshid Habashi,0.6363636363636364,0.9545454545454546,0.7636363636363637,22.0
Michel Kahwaji,0.5652173913043478,1.0,0.7222222222222222,13.0
Mayor of Kfarshima,0.4383561643835616,1.0,0.6095238095238096,32.0
Sohayl Tohmeh,0.4925373134328358,1.0,0.66,33.0
Shukri Kanaan,0.0,0.0,0.0,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,1.0,1.0,23.0
Father Boulos El-Mender,0.5319148936170213,0.33783783783783783,0.4132231404958678,74.0
Salah Tizani,1.0,1.0,1.0,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.42857142857142855,0.35294117647058826,0.3870967741935484,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.7777777777777778,1.0,0.875,28.0
Toufic El Bacha,0.7391304347826086,1.0,0.85,17.0
Catherine Yazbek Al-Badawi,1.0,0.6470588235294118,0.7857142857142857,17.0
Youssef Fadlallah Salemeh,0.7790697674418605,0.9178082191780822,0.8427672955974843,73.0
Bishop Youssef Darian,0.48484848484848486,0.9411764705882353,0.64,17.0
Youssef Hanna El-Sawda,1.0,0.8907563025210085,0.9422222222222222,119.0
accuracy,0.6298096395301742,0.6298096395301742,0.6298096395301742,0.6298096395301742
macro avg,0.4452345340721618,0.5398497492834737,0.46215447732910675,2469.0
weighted avg,0.5999760442596934,0.6298096395301742,0.5941437695612469,2469.0
