,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.2619047619047619,1.0,0.41509433962264153,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.4,0.375,0.3870967741935484,16.0
Ameen Rihani,0.7741935483870968,1.0,0.8727272727272727,24.0
Shibli N. Damus,1.0,0.8737864077669902,0.9326424870466321,103.0
Naoum Mokarzel,0.5,0.2222222222222222,0.3076923076923077,18.0
Eissa alKhouri,0.7083333333333334,0.7906976744186046,0.7472527472527473,43.0
Girgi Dimitri Sursock,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
Felix Faris,0.9493670886075949,0.9933774834437086,0.970873786407767,151.0
May Ziadeh,0.5526315789473685,0.9545454545454546,0.7,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9473684210526315,0.9230769230769231,0.935064935064935,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.96,0.9795918367346939,25.0
Daoud Mujaes,0.8571428571428571,1.0,0.9230769230769231,18.0
Bechara El Khoury,1.0,0.875,0.9333333333333333,8.0
Youssef Ibrahim Yazbek,1.0,1.0,1.0,20.0
Elias Abu Shabaki,0.9038461538461539,0.9591836734693877,0.9306930693069307,49.0
Elie Maroun Khalil,1.0,0.8636363636363636,0.926829268292683,22.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,1.0,0.19047619047619047,0.32,21.0
Botros Feghaly,0.631578947368421,1.0,0.7741935483870968,24.0
Toufiq Wehbeh,0.875,1.0,0.9333333333333333,21.0
Bishop Mkhayel Akhrass,0.8095238095238095,1.0,0.8947368421052632,17.0
George Saad,1.0,0.8947368421052632,0.9444444444444444,38.0
Bishop Aghnathios Mbarak,0.9375,1.0,0.967741935483871,15.0
Fathallah Khoury,0.0,0.0,0.0,14.0
Elias Sarkis,0.46511627906976744,1.0,0.6349206349206349,20.0
Fouad Chehab,1.0,1.0,1.0,11.0
Hanna Moussa,1.0,1.0,1.0,25.0
Habib Massoud,1.0,1.0,1.0,26.0
Zaghloul,0.8064516129032258,1.0,0.8928571428571429,25.0
Father Youhanna Habib Baysari,0.5609756097560976,1.0,0.71875,23.0
Mkhayel Daher,0.13043478260869565,0.125,0.1276595744680851,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.3064516129032258,1.0,0.4691358024691358,19.0
Father Youssef Hajj,0.0,0.0,0.0,21.0
Father Mkhayel Zreiby,0.8,0.9230769230769231,0.8571428571428571,39.0
Father Mikhael Hanna,1.0,0.45454545454545453,0.625,33.0
Jean Philipp Kmeid,1.0,1.0,1.0,27.0
Michel Saykali,1.0,1.0,1.0,14.0
Hanna Ghayth (Juan Gait),0.7647058823529411,1.0,0.8666666666666667,13.0
Yousef Hobeiche,1.0,1.0,1.0,17.0
Angele Ellis,0.4411764705882353,0.5555555555555556,0.4918032786885246,27.0
Khalil Yossuf Nader Raad,0.88,1.0,0.9361702127659575,22.0
Mansour Eid,0.9122807017543859,0.5591397849462365,0.6933333333333334,93.0
Mkhayel Meneem,0.7741935483870968,0.96,0.8571428571428571,25.0
Constantine Elias,0.6538461538461539,1.0,0.7906976744186046,17.0
Maurice Gemayel,0.9166666666666666,1.0,0.9565217391304348,11.0
Murshid Habashi,1.0,1.0,1.0,26.0
Michel Kahwaji,0.9907407407407407,0.7588652482269503,0.8594377510040161,141.0
Mayor of Kfarshima,0.2698412698412698,0.5151515151515151,0.3541666666666667,33.0
Sohayl Tohmeh,1.0,1.0,1.0,36.0
Shukri Kanaan,0.2,0.12121212121212122,0.1509433962264151,33.0
Emily Nasrallah,0.275,1.0,0.43137254901960786,11.0
Joseph Oussani,1.0,1.0,1.0,153.0
Father Boulos El-Mender,0.95,0.95,0.95,20.0
Salah Tizani,1.0,1.0,1.0,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.03571428571428571,0.0967741935483871,0.05217391304347826,31.0
Toufic El Bacha,0.6382978723404256,0.75,0.6896551724137931,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.9591836734693877,0.7833333333333333,0.8623853211009175,60.0
Bishop Youssef Darian,0.8,0.8301886792452831,0.8148148148148148,53.0
Youssef Hanna El-Sawda,0.42857142857142855,1.0,0.6,21.0
accuracy,0.7751718560452892,0.7751718560452892,0.7751718560452892,0.7751718560452892
macro avg,0.6183291890839632,0.6756741937787124,0.6232169198877625,2473.0
weighted avg,0.7713613492097344,0.7751718560452892,0.7576882768928808,2473.0
